3,Survived,Sex,Age
529,0,male,39.0
532,0,male,
533,0,male,17.0
534,1,female,
535,0,female,30.0
539,0,male,
542,0,female,9.0
543,0,female,11.0
549,0,male,33.0
553,0,male,
554,1,male,22.0
555,1,female,22.0
560,1,female,36.0
561,0,male,
562,0,male,40.0
564,0,male,
565,0,female,
566,0,male,24.0
567,0,male,19.0
568,0,female,29.0
569,0,male,
570,1,male,32.0
574,1,female,
575,0,male,16.0
576,0,male,19.0
579,0,female,
580,1,male,32.0
585,0,male,
589,0,male,22.0
590,0,male,
591,0,male,35.0
593,0,male,47.0
594,0,female,
596,0,male,36.0
598,0,male,49.0
599,0,male,
602,0,male,
604,0,male,44.0
606,0,male,36.0
607,0,male,30.0
611,0,female,39.0
612,0,male,
613,1,female,
614,0,male,
615,0,male,35.0
617,0,male,34.0
618,0,female,26.0
621,0,male,27.0
623,1,male,20.0
624,0,male,21.0
625,0,male,21.0
629,0,male,26.0
630,0,male,
632,0,male,51.0
635,0,female,9.0
637,0,male,32.0
639,0,female,41.0
640,0,male,
641,0,male,20.0
643,0,female,2.0
644,1,male,
645,1,female,0.75
647,0,male,19.0
649,0,male,
650,1,female,23.0
651,0,male,
653,0,male,21.0
654,1,female,
655,0,female,18.0
657,0,male,
658,0,female,32.0
662,0,male,40.0
664,0,male,36.0
665,1,male,20.0
668,0,male,
669,0,male,43.0
676,0,male,18.0
677,0,male,24.5
678,1,female,18.0
679,0,female,43.0
681,0,female,
683,0,male,20.0
684,0,male,14.0
687,0,male,14.0
688,0,male,19.0
689,0,male,18.0
692,1,female,4.0
693,1,male,
694,0,male,25.0
697,0,male,44.0
698,1,female,
700,0,male,42.0
703,0,female,18.0
704,0,male,25.0
705,0,male,26.0
710,1,male,
714,0,male,29.0
716,0,male,19.0
719,0,male,
720,0,male,33.0
722,0,male,17.0
726,0,male,20.0
728,1,female,
730,0,female,25.0
732,0,male,11.0
736,0,male,28.5
737,0,female,48.0
739,0,male,
740,0,male,
744,0,male,24.0
745,1,male,31.0
747,0,male,16.0
750,0,male,31.0
752,1,male,6.0
753,0,male,33.0
754,0,male,23.0
757,0,male,28.0
759,0,male,34.0
761,0,male,
762,0,male,41.0
763,1,male,20.0
765,0,male,16.0
768,0,female,30.5
769,0,male,
770,0,male,32.0
771,0,male,24.0
772,0,male,48.0
774,0,male,
776,0,male,18.0
777,0,male,
778,1,female,5.0
779,0,male,
781,1,female,13.0
784,0,male,
785,0,male,25.0
786,0,male,25.0
787,1,female,18.0
788,0,male,8.0
789,1,male,1.0
791,0,male,
793,0,female,
795,0,male,25.0
798,1,female,31.0
799,0,male,30.0
800,0,female,30.0
804,1,male,0.42
805,1,male,27.0
806,0,male,31.0
808,0,female,18.0
811,0,male,26.0
812,0,male,39.0
814,0,female,6.0
815,0,male,30.5
817,0,female,23.0
819,0,male,43.0
820,0,male,10.0
822,1,male,27.0
824,1,female,27.0
825,0,male,2.0
826,0,male,
827,0,male,
829,1,male,
831,1,female,15.0
833,0,male,
834,0,male,23.0
835,0,male,18.0
837,0,male,21.0
838,0,male,
839,1,male,32.0
841,0,male,20.0
844,0,male,34.5
845,0,male,17.0
846,0,male,42.0
847,0,male,
848,0,male,35.0
851,0,male,4.0
852,0,male,74.0
853,0,female,9.0
856,1,female,18.0
859,1,female,24.0
860,0,male,
861,0,male,41.0
864,0,female,
869,0,male,
870,1,male,4.0
871,0,male,26.0
874,0,male,47.0
876,1,female,15.0
877,0,male,20.0
878,0,male,19.0
879,0,male,
882,0,male,33.0
883,0,female,22.0
885,0,male,25.0
886,0,female,39.0
889,0,female,
891,0,male,32.0
